,pc1,pc2,pc3,target,class
0,-0.04552193955408425,-0.011030461256896072,-0.04905162317841786,1,mak
1,-0.046236314165483516,-0.01428698261950209,-0.07662655804690546,1,mak
2,-0.045496599466180634,-0.011021252480997171,-0.04899268279567214,1,mak
3,-0.0454962777855972,-0.011021137437990935,-0.04899192521327065,1,mak
4,-0.045547251239375475,-0.011039421296949788,-0.049111724140095146,1,mak
5,-0.047864899413725875,-0.011890626080580535,-0.054889908071301376,1,mak
6,-0.04914239479654871,-0.012386225944145702,-0.05830138303552471,1,mak
7,-0.04549619304115451,-0.011021106718156686,-0.04899172846111102,1,mak
8,-0.04700978980017117,-0.011572537268867637,-0.05268918931705341,1,mak
9,-0.04550129055728008,-0.011022964358397268,-0.04900415177700871,1,mak
10,-0.04700823718068755,-0.011571977575492484,-0.05268549316724665,1,mak
11,-0.04654950693176676,-0.01140297007697097,-0.05153333300023025,1,mak
12,-0.047413264196967946,-0.011722011734094992,-0.053717039962836874,1,mak
13,-0.04550187753977819,-0.01102314949298586,-0.04900505719552551,1,mak
14,-0.04449131251576371,-0.014153191817768926,-0.07685095503013233,1,mak
15,-0.04594024996564774,-0.011181053305937773,-0.050046095141089576,1,mak
16,-0.04738575181749043,-0.011712058312308007,-0.0536509470165338,1,mak
17,-0.04550107935445538,-0.01102287284430774,-0.04900325755018966,1,mak
18,-0.045496222798997926,-0.011021117595810925,-0.04899180177355841,1,mak
19,-0.04549625578544881,-0.011021129212872084,-0.04899187573338532,1,mak
20,-0.04555694452808355,-0.011044062711744067,-0.04912844350485658,1,mak
21,-0.049304055960164496,-0.012437483909175462,-0.05880197405835093,1,mak
22,-0.045517607341484634,-0.011028839606441715,-0.049042935789689386,1,mak
23,-0.04654950695506881,-0.011402970085436838,-0.05153333305687277,1,mak
24,-0.049142394796548916,-0.012386225944145617,-0.05830138303552492,1,mak
25,-0.04549619300537983,-0.01102110670531224,-0.048991728376919806,1,mak
26,-0.045940350261720206,-0.011181089201811968,-0.0500463294223359,1,mak
27,-0.044149390556489206,-0.014139480840873058,-0.07683589098861128,1,mak
28,-0.04431797129466985,-0.014149015609047084,-0.07685500108182977,1,mak
29,-0.04786260094207685,-0.011889792930964756,-0.05488435837411433,1,mak
30,-0.045718215367650396,-0.011100921475035365,-0.04951634230595097,1,mak
31,-0.047775102438409066,-0.012813483289667919,-0.04337787959399743,1,mak
32,-0.049171846905062655,-0.012398148885886794,-0.05835837013519076,1,mak
33,-0.045496194601856436,-0.011021107278014001,-0.04899173212520637,1,mak
34,-0.045498241179931634,-0.0110221385078591,-0.04899322586528521,1,mak
35,-0.0458348374653132,-0.011149639500127212,-0.04973384420550595,1,mak
36,-0.04757479958181261,-0.011792223751245385,-0.05431099004012383,1,mak
37,-0.04549619300537983,-0.011021106705312228,-0.04899172837691981,1,mak
38,-0.0455227281549808,-0.01104288531757366,-0.04891864366637827,1,mak
39,-0.04549628098843831,-0.011021138379293385,-0.0489919338709423,1,mak
40,-0.049036579754789436,-0.012337698102480758,-0.05810758102190742,1,mak
41,-0.04553909239493096,-0.011036528635559244,-0.049093097167016056,1,mak
42,-0.046795974906003436,-0.011494643213402532,-0.05216738734368226,1,mak
43,-0.049168997772627766,-0.012397114904388521,-0.05835104357686611,1,mak
44,-0.04679642211141871,-0.011494804775203456,-0.052168458212831795,1,mak
45,-0.047009430123069414,-0.011572401845472627,-0.05268823860197449,1,mak
46,-0.04338879823479128,-0.014127325481474237,-0.07646424349112893,1,mak
47,-0.04929909653053319,-0.012437967054763199,-0.05882926337427335,1,mak
48,-0.045780028954376946,-0.011123210695021883,-0.049662616635377424,1,mak
49,-0.04890344364861576,-0.012288992942866733,-0.05777839313377891,1,mak
50,-0.047823513216432974,-0.01187558457662685,-0.05478933468636895,1,mak
51,-0.045777414514937456,-0.011122236253894522,-0.04965661327355298,1,mak
52,-0.04700672966420638,-0.01157142835806364,-0.05268180964021383,1,mak
53,-0.047776908378445775,-0.011867294349553617,-0.054585231631780654,1,mak
54,-0.045685154783394334,-0.013505232355473065,-0.06790746051399842,1,mak
55,-0.04557998040017572,-0.011052735347213894,-0.049206927860379536,1,mak
56,-0.045496552501289096,-0.011021235594225761,-0.04899257220959923,1,mak
57,-0.04542709855006098,-0.01104319713320227,-0.04889584206854292,1,mak
58,-0.04489151654399258,-0.014193483879052352,-0.07578358018205489,1,mak
59,-0.045498713612024816,-0.011022010313587634,-0.04899764841149418,1,mak
60,-0.04567902689209989,-0.011088300617890054,-0.04944830263120296,1,mak
61,-0.0454961930079538,-0.011021106706235014,-0.048991728382961175,1,mak
62,-0.047636497410640896,-0.01228665074220006,-0.04919585311782286,1,mak
63,-0.04549690413963858,-0.011021361958715585,-0.048993402503356986,1,mak
64,-0.04559404238014023,-0.011107270614137833,-0.04868472223689654,1,mak
65,-0.04549718455496874,-0.011021477639214567,-0.04899399066789189,1,mak
66,-0.04680926884390699,-0.01154601961486216,-0.05177968432342679,1,mak
67,-0.04560836710444852,-0.0110626345214681,-0.04927738046878612,1,mak
68,-0.045496193005391476,-0.011021106705316438,-0.04899172837694747,1,mak
69,-0.04575629990391047,-0.011114548766448702,-0.049605315982835144,1,mak
70,-0.04814356972728941,-0.012002373615039403,-0.05575268372720089,1,mak
71,-0.04588547235760349,-0.011183623317418671,-0.04967817708241346,1,mak
72,-0.045496202713304415,-0.011021114583274932,-0.048991708250284,1,mak
73,-0.04935562554824923,-0.012458317090669356,-0.05896332175866022,1,mak
74,-0.04420066530788525,-0.014140749719049214,-0.07681142629611931,1,mak
75,-0.04549619845088854,-0.011021108696695158,-0.048991741806484204,1,mak
76,-0.04772194926435272,-0.012059645255581156,-0.05209148611505555,1,mak
77,-0.045496511519331734,-0.011021220916786563,-0.04899247590046976,1,mak
78,-0.14368348465915318,0.9721728805877938,0.10009580925730185,1,mak
79,-0.04549619312118114,-0.011021106749101514,-0.04899172869087117,1,mak
80,-0.0454961930074624,-0.011021106706060955,-0.048991728381841806,1,mak
81,-0.04777684238508373,-0.011867286151288629,-0.05458488509559028,1,mak
82,-0.04652855378344487,-0.011395290181078693,-0.05148138331687772,1,mak
83,-0.04549721534198694,-0.011021474003557392,-0.04899412843749383,1,mak
84,-0.04652855378948822,-0.011395290183223227,-0.05148138333062114,1,mak
85,-0.047281283219989305,-0.01167416525227778,-0.05339839344460024,1,mak
86,-0.045496204480855104,-0.011021110820617545,-0.04899175531943244,1,mak
87,-0.049241446442957186,-0.012416674140476886,-0.05868323980956554,1,mak
88,-0.04554725092530444,-0.0110394211825895,-0.04911172337388494,1,mak
89,-0.045496193005380166,-0.01102110670531237,-0.04899172837692055,1,mak
90,-0.04777684631981641,-0.011867288283426052,-0.05458491166821186,1,mak
91,-0.045496193475736774,-0.011021106875795996,-0.04899172951122917,1,mak
92,-0.04905180337124583,-0.012346586125096102,-0.05820218530950252,1,mak
93,-0.05550955757673524,-0.027169741744524308,0.044136291166635276,1,mak
94,-0.1436834846591533,0.9721728805877944,0.10009580925730176,1,mak
95,-0.04390449561708883,-0.014096012147743843,-0.07656711771314972,1,mak
96,-0.04549646196114257,-0.011021203255841256,-0.048992361759562245,2,csproj
97,-0.04550783533430526,-0.011025303676512393,-0.04901945841694495,2,csproj
98,-0.04580056769263335,-0.01113075802585183,-0.049714900318801825,2,csproj
99,-0.04553381465056189,-0.011034653564548318,-0.0490810159318553,2,csproj
